fecha,tienda_id,sku,canal,unidades,precio,importe
2024-06-01,S005,SKU00203,web,4,11.86,47.44
2024-06-01,S014,SKU00215,tienda,2,72.32,144.64
2024-06-01,S002,SKU00296,web,2,4.23,8.46
2024-06-01,S019,SKU00158,web,1,31.13,31.13
2024-06-01,S019,SKU00031,web,2,13.57,27.14
2024-06-01,S008,SKU00093,web,3,15.20,45.60
2024-06-01,S003,SKU00061,web,2,17.24,34.48
2024-06-01,S018,SKU00294,web,3,17.04,51.12
2024-06-01,S003,SKU00139,web,4,17.56,70.24
2024-06-01,S010,SKU00367,tienda,0,14.51,0.00
2024-06-01,S010,SKU00067,web,1,2.42,2.42
2024-06-01,S005,SKU00221,app,2,22.63,45.26
2024-06-01,S006,SKU00078,tienda,0,21.84,0.00
2024-06-01,S019,SKU00164,app,3,6.60,19.80
2024-06-01,S018,SKU00201,tienda,4,12.98,51.92
2024-06-01,S004,SKU00175,web,1,36.84,36.84
2024-06-01,S007,SKU00315,tienda,2,49.67,99.34
2024-06-01,S015,SKU00246,web,2,41.76,83.52
2024-06-01,S001,SKU00106,app,2,18.60,37.20
2024-06-01,S003,SKU00357,web,3,4.60,13.80
2024-06-01,S008,SKU00314,web,2,30.77,61.54
2024-06-01,S017,SKU00253,WEB,1,9.62,9.62
2024-06-01,S012,SKU00187,tienda,2,39.10,78.20
2024-06-01,S001,SKU00246,app,0,7.14,0.00
2024-06-01,S007,SKU00245,app,1,7.00,7.00
2024-06-01,S003,SKU00372,tienda,3,22.96,68.88
2024-06-01,S020,SKU00243,web,4,"14,00",56.00
2024-06-01,S017,SKU00384,app,3,22.71,68.13
2024-06-01,S008,SKU00392,web,1,4.14,4.14
2024-06-01,S019,SKU00265,tienda,1,20.88,20.80
2024-06-01,S001,SKU00398,web,1,10.88,10.88
2024-06-01,S018,SKU00248,web,4,5.89,23.56
2024-06-01,S018,SKU00015,web,2,23.59,47.18
2024-06-01,S015,SKU00261,web,0,2.14,0.00
2024-06-01,S018,SKU00104,web,4,26.11,104.44
2024-06-01,S010,SKU00063,app,3,7.01,21.03
2024-06-01,S008,SKU00383,app,2,5.62,11.24
2024-06-01,S017,SKU00207,tienda,2,"20,03",40.06
2024-06-01,S001,SKU00197,tienda,3,17.59,52.77
2024-06-01,S004,SKU00044,tienda,1,11.34,11.34
2024-06-01,S009,SKU00208,tienda,4,11.92,47.68
2024-06-01,S014,SKU00038,WEB,2,8.19,16.38
2024-06-01,S015,SKU00006,tienda,0,17.86,0.00
2024-06-01,S004,SKU00083,tienda,3,10.71,32.13
2024-06-01,S006,SKU00139,online,2,,
2024-06-01,S007,SKU00264,web,0,14.01,0.00
2024-06-01,S013,SKU00260,tienda,2,17.31,34.62
2024-06-01,S012,SKU00028,online,4,13.82,55.28
2024-06-01,S010,SKU00307,tienda,3,18.94,56.82
2024-06-01,S018,SKU00166,tienda,1,"8,32",8.32
2024-06-01,S017,SKU00336,tienda,-1,18.14,
2024-06-01,S002,SKU00202,tienda,0,13.05,0.00
2024-06-01,S020,SKU00200,web,0,19.94,0.00
2024-06-01,S017,SKU00322,tienda,1,12.08,12.08
2024-06-01,S001,SKU00352,web,0,11.47,0.00
2024-06-01,S012,SKU00054,tienda,0,,
2024-06-01,S008,SKU00251,tienda,2,4.07,8.14
2024-06-01,S016,SKU00130,web,4,6.83,27.32
2024-06-01,S013,SKU00040,web,0,24.64,0.00
2024-06-01,S009,SKU00334,web,3,,
2024-06-01,S009,SKU00345,tienda,4,5.36,21.44
2024-06-01,S018,SKU00103,tienda,3,23.55,70.65
2024-06-01,S009,SKU00199,tienda,0,9.29,0.00
2024-06-01,S005,SKU00309,web,0,4.88,0.00
2024-06-01,S001,SKU00082,tienda,3,22.15,66.45
2024-06-01,S011,SKU00001,tienda,3,10.17,30.95
2024-06-01,S003,SKU00202,tienda,2,31.17,62.34
2024-06-01,S002,SKU00339,tienda,4,18.44,73.76
2024-06-01,S014,SKU00015,web,1,29.94,29.94
2024-06-01,S014,SKU00231,web,0,28.63,0.00
2024-06-01,S014,SKU00176,tienda,0,45.94,0.00
2024-06-01,S013,SKU00062,tienda,2,10.31,20.62
2024-06-01,S015,SKU00219,tienda,3,17.48,52.44
2024-06-01,S019,SKU00104,app,1,33.83,33.83
2024-06-01,S002,SKU00256,tienda,1,25.04,25.04
2024-06-01,S009,SKU00128,tienda,0,30.21,0.00
2024-06-01,S014,SKU00364,web,0,13.09,0.00
2024-06-01,S017,SKU00240,app,1,19.74,19.74
2024-06-01,S015,SKU00044,web,1,16.39,16.39
2024-06-01,S005,SKU00321,tienda,3,9.26,27.78
2024-06-01,S013,SKU00134,tienda,1,13.88,13.88
2024-06-01,S008,SKU00244,web,2,8.72,17.44
2024-06-01,S014,SKU00042,tienda,3,9.79,29.37
2024-06-01,S013,SKU00102,tienda,1,15.88,15.88
2024-06-01,S007,SKU00119,web,2,11.43,22.86
2024-06-01,S016,SKU00214,app,0,37.58,0.00
2024-06-01,S002,SKU00095,tienda,1,18.95,18.95
2024-06-01,S006,SKU00335,app,3,24.35,73.05
2024-06-01,S006,SKU00056,tienda,0,10.37,0.00
2024-06-01,S012,SKU00394,web,2,14.42,28.84
2024-06-01,S007,SKU00166,tienda,1,23.66,23.66
2024-06-01,S002,SKU00238,tienda,1,11.84,11.84
2024-06-01,S020,SKU00023,tienda,1,"47,43",47.43
2024-06-01,S003,SKU00013,web,1,4.19,4.19
2024-06-01,S016,SKU00068,app,2,16.13,32.26
2024-06-01,S011,SKU00164,web,1,11.46,11.46
2024-06-01,S002,SKU00247,web,2,23.91,47.82
2024-06-01,S004,SKU00216,web,1,21.41,21.41
2024-06-01,S018,SKU00397,web,1,9.07,9.07
2024-06-01,S007,SKU00225,tienda,1,2.37,2.37
2024-06-01,S008,SKU00260,web,3,4.29,13.17
2024-06-01,S015,SKU00192,tienda,1,4.17,4.17
2024-06-01,S012,SKU00263,app,1,33.83,33.83
2024-06-01,S020,SKU00180,tienda,3,21.32,63.96
2024-06-01,S007,SKU00006,web,2,25.14,50.28
2024-06-01,S016,SKU00033,tienda,2,41.61,83.22
2024-06-01,S009,SKU00210,app,2,8.02,16.04
2024-06-01,S001,SKU00393,app,3,4.94,15.18
2024-06-01,S003,SKU00208,web,2,2.71,5.42
2024-06-01,S013,SKU00046,web,1,10.41,10.41
2024-06-01,S003,SKU00056,tienda,0,15.46,0.00
2024-06-01,S016,SKU00162,tienda,0,9.63,0.00
2024-06-01,S008,SKU00318,tienda,2,13.95,27.90
2024-06-01,S013,SKU00184,tienda,2,22.58,45.16
2024-06-01,S002,SKU00342,web,2,6.53,13.06
2024-06-01,S019,SKU00128,tienda,0,13.58,0.00
2024-06-01,S008,SKU00229,web,2,6.58,13.16
2024-06-01,S014,SKU00188,tienda,1,20.14,20.14
2024-06-01,S017,SKU00041,tienda,0,12.39,0.00
2024-06-01,S004,SKU00100,tienda,0,5.76,0.00
2024-06-01,S008,SKU00034,web,1,20.26,20.26
2024-06-01,S009,SKU00258,app,1,38.39,38.39
2024-06-01,S013,SKU00083,web,1,2.55,2.55
2024-06-01,S002,SKU00326,app,2,15.20,30.40
2024-06-01,S018,SKU00323,app,2,9.88,19.76
2024-06-01,S003,SKU00227,tienda,1,22.96,22.96
2024-06-01,S019,SKU00340,app,3,14.61,43.83
2024-06-01,S012,SKU00025,tienda,2,"16,79",33.58
2024-06-01,S012,SKU00274,tienda,2,4.28,8.56
2024-06-01,S008,SKU00363,tienda,1,17.23,17.23
2024-06-01,S001,SKU00029,web,4,18.51,74.04
2024-06-01,S008,SKU00085,app,1,15.84,15.84
2024-06-01,S001,SKU00314,web,0,18.43,0.00
2024-06-01,S020,SKU00090,web,2,26.90,53.80
